task,subjID,display,trial,fribblePresented,resp,labelPresented,frequency,rt,trialType,list,expeType
contingency,3467073,task,40,12325,56,tob,l,2126.28,mismatch-type1,1,pilot1
contingency,3467073,task,41,32025,100,wug,l,3471.035,mismatch-type1,1,pilot1
contingency,3467073,task,42,12225,-64,dep,l,3206.285,match,1,pilot1
contingency,3467073,task,43,12125,-66,dep,l,3591.89,match,1,pilot1
contingency,3467073,task,44,22375,100,wug,h,2942.62,match,1,pilot1
contingency,3467073,task,45,31575,-34,tob,h,2350.295,match,1,pilot1
contingency,3467073,task,46,10975,25,dep,h,4478.355,match,1,pilot1
contingency,3467073,task,47,32275,49,tob,h,2048.365,match,1,pilot1
contingency,3467073,task,48,10675,-26,wug,h,3242.6,mismatch-type1,1,pilot1
contingency,3467073,task,49,32525,98,wug,l,4613.86,mismatch-type1,1,pilot1
contingency,3467073,task,50,21025,-87,wug,l,2725.015,match,1,pilot1
contingency,3467073,task,51,10925,35,tob,l,2233.905,mismatch-type1,1,pilot1
contingency,3467073,task,52,33075,35,dep,h,3627.475,mismatch-type1,1,pilot1
contingency,3467073,task,53,10625,19,dep,l,1638.685,match,1,pilot1
contingency,3467073,task,54,32225,-83,tob,l,2402.51,match,1,pilot1
contingency,3467073,task,55,22225,49,dep,l,2941.125,mismatch-type1,1,pilot1
contingency,3467073,task,56,11975,-86,wug,h,3861.635,mismatch-type1,1,pilot1
contingency,3467073,task,57,30275,50,tob,h,2231.245,match,1,pilot1
contingency,3467073,task,58,22175,-86,tob,h,3439.25,mismatch-type1,1,pilot1
contingency,3467073,task,59,31725,-96,tob,l,2709.765,match,1,pilot1
contingency,3467073,task,60,20575,-98,tob,h,2745.08,mismatch-type1,1,pilot1
contingency,3430836,task,1,20375,100,wug,h,4591.81,match,1,pilot1
contingency,3430836,task,2,11025,34,dep,l,6283.665,match,1,pilot1
contingency,3430836,task,3,21125,-58,dep,l,5836.57,mismatch-type1,1,pilot1
contingency,3430836,task,4,22475,100,wug,h,3817.45,match,1,pilot1
contingency,3430836,task,5,13375,100,dep,h,3703.845,match,1,pilot1
contingency,3430836,task,6,21675,-100,tob,h,4761.335,mismatch-type1,1,pilot1
contingency,3430836,task,7,31525,-39,wug,l,5496.65,mismatch-type1,1,pilot1
contingency,3430836,task,8,30875,100,tob,h,5533.78,match,1,pilot1
contingency,3430836,task,9,11725,30,dep,l,4198.475,match,1,pilot1
contingency,3430836,task,10,30975,-100,dep,h,4052.25,mismatch-type1,1,pilot1
contingency,3430836,task,11,20825,-31,dep,l,4943.77,mismatch-type1,1,pilot1
contingency,3430836,task,12,30225,-55,wug,l,4240.455,mismatch-type1,1,pilot1
contingency,3430836,task,13,11875,100,dep,h,2830.175,match,1,pilot1
contingency,3430836,task,14,12075,-100,wug,h,5562.105,mismatch-type1,1,pilot1
contingency,3430836,task,15,20775,88,wug,h,4480.215,match,1,pilot1
contingency,3430836,task,16,30325,-42,wug,l,3602.545,mismatch-type1,1,pilot1
contingency,3430836,task,17,30725,48,tob,l,3848.215,match,1,pilot1
contingency,3430836,task,18,11425,-53,tob,l,4039.77,mismatch-type1,1,pilot1
contingency,3430836,task,19,20325,-57,dep,l,5180.69,mismatch-type1,1,pilot1
contingency,3430836,task,20,20625,46,wug,l,4539.97,match,1,pilot1
contingency,3430836,task,21,21575,98,wug,h,3553.93,match,1,pilot1
contingency,3430836,task,22,10175,100,dep,h,2913.645,match,1,pilot1
contingency,3430836,task,23,22325,-54,dep,l,5368.775,mismatch-type1,1,pilot1
contingency,3430836,task,24,32575,-100,dep,h,4796.92,mismatch-type1,1,pilot1
contingency,3430836,task,25,11375,-97,wug,h,3930.475,mismatch-type1,1,pilot1
contingency,3430836,task,26,33275,-100,dep,h,3236.73,mismatch-type1,1,pilot1
contingency,3430836,task,27,12275,100,dep,h,6418.855,match,1,pilot1
contingency,3430836,task,28,31425,-37,tob,l,5969.09,match,1,pilot1
contingency,3430836,task,29,21975,-100,tob,h,4216.405,mismatch-type1,1,pilot1
contingency,3430836,task,30,11625,-50,tob,l,3730.635,mismatch-type1,1,pilot1
contingency,3430836,task,31,22125,46,wug,l,5499.73,match,1,pilot1
