subjID frequency learning testing trialType acc
10 l sx sx exp 0
10 l sx sx exp 0
10 l sx sx exp 1
10 l sx sx exp 0
10 l sx sx exp 1
10 l sx sx exp 0
8 h sx sx control 1
8 h sx sx control 1
8 h sx sx control 1
8 h sx sx control 1
8 h sx sx control 1
8 h sx sx control 1
8 h sx sx control 1
8 h sx sx control 1
8 h sx sx exp 0
8 h sx sx exp 1
8 h sx sx exp 1
8 h sx sx exp 1
8 h sx sx exp 1
8 h sx sx exp 1
8 h sx sx exp 1
8 h sx sx exp 1
8 h sx sx exp 0
8 h sx sx exp 1
8 h sx sx exp 1
8 h sx sx exp 1
8 h sx sx exp 0
8 h sx sx exp 0
8 h sx sx exp 0
8 h sx sx exp 0
8 h sx sx exp 1
8 h sx sx exp 1
8 h sx sx exp 1
8 h sx sx exp 1
8 h sx sx exp 1
8 h sx sx exp 1
8 h sx sx exp 1
8 h sx sx exp 1
8 l sx sx exp 0
8 l sx sx exp 1
8 l sx sx exp 1
8 l sx sx exp 0
8 l sx sx exp 0
8 l sx sx exp 0
8 l sx sx exp 0
8 l sx sx exp 0
8 l sx sx exp 1
8 l sx sx exp 0
8 l sx sx exp 1
8 l sx sx exp 1
8 l sx sx exp 1
8 l sx sx exp 1
8 l sx sx exp 0
8 l sx sx exp 0
8 l sx sx exp 1
8 l sx sx exp 1
8 l sx sx exp 1
8 l sx sx exp 1
8 l sx sx exp 1
8 l sx sx exp 1
8 l sx sx exp 1
8 l sx sx exp 1
7 h sx sx control 1
7 h sx sx control 1
7 h sx sx control 1
7 h sx sx control 1
7 h sx sx control 1
7 h sx sx control 1
7 h sx sx control 1
7 h sx sx control 1
7 h sx sx exp 0
7 h sx sx exp 1
7 h sx sx exp 0
7 h sx sx exp 1
7 h sx sx exp 1
7 h sx sx exp 0
7 h sx sx exp 1
7 h sx sx exp 0
7 h sx sx exp 1
7 h sx sx exp 1
7 h sx sx exp 1
7 h sx sx exp 1
7 h sx sx exp 1
7 h sx sx exp 1
7 h sx sx exp 1
7 h sx sx exp 1
7 h sx sx exp 1
7 h sx sx exp 1
7 h sx sx exp 1
7 h sx sx exp 1
7 h sx sx exp 1
7 h sx sx exp 1
7 h sx sx exp 1
7 h sx sx exp 1
7 l sx sx exp 0
7 l sx sx exp 0
7 l sx sx exp 0
7 l sx sx exp 0
7 l sx sx exp 0
7 l sx sx exp 0
7 l sx sx exp 0
7 l sx sx exp 0
7 l sx sx exp 0
7 l sx sx exp 0
7 l sx sx exp 0
7 l sx sx exp 0
7 l sx sx exp 0
7 l sx sx exp 0
7 l sx sx exp 0
7 l sx sx exp 0
7 l sx sx exp 1
7 l sx sx exp 1
7 l sx sx exp 1
7 l sx sx exp 1
7 l sx sx exp 0
7 l sx sx exp 0
7 l sx sx exp 1
7 l sx sx exp 1
6 h sx sx control 1
6 h sx sx control 1
6 h sx sx control 1
6 h sx sx control 1
6 h sx sx control 1
6 h sx sx control 1
6 h sx sx control 1
6 h sx sx control 1
6 h sx sx exp 1
6 h sx sx exp 1
6 h sx sx exp 1
6 h sx sx exp 1
6 h sx sx exp 1
6 h sx sx exp 1
6 h sx sx exp 1
6 h sx sx exp 1
6 h sx sx exp 1
6 h sx sx exp 1
6 h sx sx exp 1
6 h sx sx exp 1
6 h sx sx exp 1
6 h sx sx exp 1
6 h sx sx exp 1
6 h sx sx exp 1
6 h sx sx exp 0
6 h sx sx exp 1
6 h sx sx exp 1
6 h sx sx exp 1
6 h sx sx exp 1
6 h sx sx exp 1
6 h sx sx exp 1
6 h sx sx exp 1
6 l sx sx exp 0
6 l sx sx exp 0
6 l sx sx exp 0
