resp,category,fribbleSelected,task,subjID,trial,labelPresented,frequency,rt,list,acc,type_of_resp,expeType
30125,3,tob,2AFC - 4 pictures,3475213,10,tob,low,2649.795,1,1,match,pilot1
30125,3,tob,2AFC - 4 pictures,3424063,10,tob,low,2500,1,1,match,pilot1
30225,3,tob,2AFC - 4 pictures,3394859,7,dep,low,2274.7,1,0,mismatch-type2,pilot1
30375,3,tob,2AFC - 4 pictures,3491839,21,wug,high,1185.17,1,0,mismatch-type2,pilot1
30425,3,tob,2AFC - 4 pictures,3424063,52,tob,low,2713,1,1,match,pilot1
30425,3,tob,2AFC - 4 pictures,3475213,52,tob,low,1821.68,1,1,match,pilot1
30425,3,tob,2AFC - 4 pictures,3473048,22,wug,low,1535.04,1,0,mismatch-type1,pilot1
30425,3,tob,2AFC - 4 pictures,3481518,52,tob,low,1891.735,1,1,match,pilot1
30425,3,tob,2AFC - 4 pictures,3491839,22,wug,low,2819,1,0,mismatch-type1,pilot1
30425,3,tob,2AFC - 4 pictures,3421453,52,tob,low,1288.33,1,1,match,pilot1
30425,3,tob,2AFC - 4 pictures,3394859,52,tob,low,2434.32,1,1,match,pilot1
30475,3,tob,2AFC - 4 pictures,3481518,16,tob,high,1106.505,1,1,match,pilot1
30475,3,tob,2AFC - 4 pictures,3473048,16,tob,high,2088.795,1,1,match,pilot1
30475,3,tob,2AFC - 4 pictures,3424063,16,tob,high,3191,1,1,match,pilot1
30475,3,tob,2AFC - 4 pictures,3467073,16,tob,high,2162.51,1,1,match,pilot1
30475,3,tob,2AFC - 4 pictures,3394859,16,tob,high,2462.89,1,1,match,pilot1
30475,3,tob,2AFC - 4 pictures,3430836,16,tob,high,1820.495,1,1,match,pilot1
30475,3,tob,2AFC - 4 pictures,3475213,16,tob,high,3094.59,1,1,match,pilot1
30675,3,tob,2AFC - 4 pictures,3467073,31,dep,high,2787.58,1,0,mismatch-type1,pilot1
30675,3,tob,2AFC - 4 pictures,3491839,14,bim,control_high,1973.32,1,0,errorControl,pilot1
