fribbleID,subjID,learning,task,label,rt,resp,plugin,trialIndex,acc,fribbleFeatures,correctCategory,correctFrequency,correctLabel,body,trialType
1,1824292,FL,pictureLabels,tobdepwugbim,1678.46500000451,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1810091,LF,pictureLabels,tobdepwugbim,NA,NA,image-button-response,486,NA,10375,3,high,dep,blue,exp
1,1799788,FL,pictureLabels,tobdepwugbim,2492.86000000034,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1803471,FL,pictureLabels,tobdepwugbim,2016.00000000047,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1826945,LF,pictureLabels,tobdepwugbim,3460.00500000082,bim,image-button-response,486,0,10375,3,high,dep,blue,exp
1,1828954,FL,pictureLabels,tobdepwugbim,3174.75999999989,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1825248,FL,pictureLabels,tobdepwugbim,2339.13999999641,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1803039,LF,pictureLabels,tobdepwugbim,2287.80499997083,bim,image-button-response,486,0,10375,3,high,dep,blue,exp
1,1799783,LF,pictureLabels,tobdepwugbim,2113.20500005968,wug,image-button-response,486,0,10375,3,high,dep,blue,exp
1,1824284,FL,pictureLabels,tobdepwugbim,1009.56499995664,wug,image-button-response,486,0,10375,3,high,dep,blue,exp
1,1799781,LF,pictureLabels,tobdepwugbim,1196,tob,image-button-response,486,0,10375,3,high,dep,blue,exp
1,1800341,FL,pictureLabels,tobdepwugbim,1630.95000000612,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1803485,FL,pictureLabels,tobdepwugbim,2549.31999999098,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1846365,FL,pictureLabels,tobdepwugbim,2276.38500000001,wug,image-button-response,486,0,10375,3,high,dep,blue,exp
1,1826931,LF,pictureLabels,tobdepwugbim,1665,bim,image-button-response,486,0,10375,3,high,dep,blue,exp
1,1846352,FL,pictureLabels,tobdepwugbim,1554.48500020429,wug,image-button-response,486,0,10375,3,high,dep,blue,exp
1,1826535,LF,pictureLabels,tobdepwugbim,2046.49499990046,wug,image-button-response,486,0,10375,3,high,dep,blue,exp
1,1810086,LF,pictureLabels,tobdepwugbim,2632.15499999933,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1823741,FL,pictureLabels,tobdepwugbim,1792,tob,image-button-response,486,0,10375,3,high,dep,blue,exp
1,1802993,LF,pictureLabels,tobdepwugbim,1500.10000000475,wug,image-button-response,486,0,10375,3,high,dep,blue,exp
1,1846376,FL,pictureLabels,tobdepwugbim,2603.00000000279,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1803483,FL,pictureLabels,tobdepwugbim,1587.91999984533,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1825250,LF,pictureLabels,tobdepwugbim,2083.59981105849,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
