,Estimate,Std. Error,z value,Pr(>|z|),n,BF,is_sing,conv_error,loopNumber
correctFrequency.ct:learning.ct310,-0.0804,1.5027,-0.0535,0.9573,119,0.805688252,N,N,51
correctFrequencyhigh:learning.ct310,1.0217,1.1733,0.8708,0.3839,119,1.247790139,N,N,51
correctFrequencylow:learning.ct310,-0.6148,0.6646,-0.925,0.355,119,0.286797896,N,N,51
(Intercept)410,0.2262,0.2413,0.9374,0.3486,99,NA,N,N,51
correctFrequency.ct410,-2.9842,0.623,-4.7904,0,99,17022.0174,N,N,51
learning.ct410,-0.2943,0.4726,-0.6227,0.5335,99,0.406636033,N,N,51
correctFrequency.ct:learning.ct410,-1.5748,1.2313,-1.279,0.2009,99,0.44348642,N,N,51
correctFrequencyhigh:learning.ct410,-0.4487,1.0422,-0.4305,0.6668,99,0.521838275,N,N,51
correctFrequencylow:learning.ct410,-0.5291,0.5939,-0.8908,0.373,99,0.264427382,N,N,51
(Intercept)510,0.3201,0.3825,0.8369,0.4027,79,NA,N,N,51
correctFrequency.ct510,-2.7353,0.5856,-4.6705,0,79,11215.0515,N,N,51
learning.ct510,-0.432,0.758,-0.57,0.5687,79,0.573719112,N,N,51
correctFrequency.ct:learning.ct510,2.9416,1.1568,2.5428,0.011,79,5.946678769,N,N,51
correctFrequencyhigh:learning.ct510,0.4932,0.8355,0.5902,0.555,79,0.88932868,N,N,51
correctFrequencylow:learning.ct510,-1.0817,0.7117,-1.5199,0.1285,79,0.234141262,N,N,51
(Intercept)610,0.7336,0.3836,1.9124,0.0558,59,NA,N,N,51
correctFrequency.ct610,-4.6662,0.8319,-5.6087,0,59,286309.8598,N,N,51
learning.ct610,-0.1777,0.6752,-0.2632,0.7924,59,0.621909642,N,N,51
correctFrequency.ct:learning.ct610,-0.0811,1.5016,-0.054,0.9569,59,0.8053098,N,N,51
correctFrequencyhigh:learning.ct610,-1.9028,0.8488,-2.2419,0.025,59,0.211957188,N,N,51
correctFrequencylow:learning.ct610,1.0388,1.0474,0.9917,0.3213,59,1.346855882,N,N,51
(Intercept)710,1.0286,0.4697,2.1901,0.0285,39,NA,N,N,51
correctFrequency.ct710,-3.9749,0.6112,-6.5031,0,39,92073920.68,N,N,51
learning.ct710,-1.1203,0.9025,-1.2413,0.2145,39,0.490584008,N,N,51
correctFrequency.ct:learning.ct710,2.3268,1.1183,2.0807,0.0375,39,3.652355996,N,N,51
correctFrequencyhigh:learning.ct710,-0.1372,1.2024,-0.1141,0.9092,39,0.671052781,N,N,51
correctFrequencylow:learning.ct710,-0.2183,0.7706,-0.2832,0.777,39,0.458023091,N,N,51
