"","objectLookedAt","timeRel.bin","frequency","block3","proportionLooks"
"426","mismatch2LabelLk",250,"l","block34",0.0963934026893586
"427","targetLabelLk",250,"l","block34",0.113012584196661
"428","mismatch1LabelLk",300,"l","block34",0.117058404558405
"429","mismatch2LabelLk",300,"l","block34",0.109378006253006
"430","targetLabelLk",300,"l","block34",0.104464516964517
"431","mismatch1LabelLk",350,"l","block34",0.133935594657577
"432","mismatch2LabelLk",350,"l","block34",0.0932126322751323
"433","targetLabelLk",350,"l","block34",0.0944817634472807
"434","mismatch1LabelLk",400,"l","block34",0.159484510587452
"435","mismatch2LabelLk",400,"l","block34",0.0643229166666667
"436","targetLabelLk",400,"l","block34",0.135400496154173
"437","mismatch1LabelLk",450,"l","block34",0.163793975972285
"438","mismatch2LabelLk",450,"l","block34",0.071494708994709
"439","targetLabelLk",450,"l","block34",0.123687302111015
"440","mismatch1LabelLk",500,"l","block34",0.167201013987067
"441","mismatch2LabelLk",500,"l","block34",0.0673916361416361
"442","targetLabelLk",500,"l","block34",0.121880728270078
"443","mismatch1LabelLk",550,"l","block34",0.140493095548243
"444","mismatch2LabelLk",550,"l","block34",0.0835274100899101
"445","targetLabelLk",550,"l","block34",0.121431808931809
"446","mismatch1LabelLk",600,"l","block34",0.141856329264417
"447","mismatch2LabelLk",600,"l","block34",0.0686030982905983
"448","targetLabelLk",600,"l","block34",0.179523977180227
"449","mismatch1LabelLk",650,"l","block34",0.112092265033441
"450","mismatch2LabelLk",650,"l","block34",0.0585249377528789
"451","targetLabelLk",650,"l","block34",0.294420673280967
"452","mismatch1LabelLk",700,"l","block34",0.0628871667619733
"453","mismatch2LabelLk",700,"l","block34",0.0711154738292896
"454","targetLabelLk",700,"l","block34",0.379415826351295
"455","mismatch1LabelLk",750,"l","block34",0.0531182033494652
"456","mismatch2LabelLk",750,"l","block34",0.040640407046657
"457","targetLabelLk",750,"l","block34",0.459824501687346
"458","mismatch1LabelLk",800,"l","block34",0.0248151539394798
"459","mismatch2LabelLk",800,"l","block34",0.0245098039215686
"460","targetLabelLk",800,"l","block34",0.492808105342592
"461","mismatch1LabelLk",850,"l","block34",0.0242973872496899
"462","mismatch2LabelLk",850,"l","block34",0.0187364718614719
"463","targetLabelLk",850,"l","block34",0.476546444844142
"464","mismatch1LabelLk",900,"l","block34",0.0302427488089253
"465","mismatch2LabelLk",900,"l","block34",0.02182296529723
"466","targetLabelLk",900,"l","block34",0.505766353744295
"467","mismatch1LabelLk",950,"l","block34",0.0230146011396011
"468","mismatch2LabelLk",950,"l","block34",0.0224817104872252
"469","targetLabelLk",950,"l","block34",0.506132298733402
