resp,category,fribbleSelected,task,subjID,trial,labelPresented,frequency,rt,acc,type_of_resp,expeType
23075,2,wug,2AFC - 4 pictures,3491839,3,dep,high,1661.87500000069,0,mismatch-type2,pilot1
23475,2,wug,2AFC - 4 pictures,3421453,16,tob,high,2970.94500000094,0,mismatch-type1,pilot1
23475,2,wug,2AFC - 4 pictures,3421453,18,tob,high,2146.89499999804,0,mismatch-type1,pilot1
23575,2,wug,2AFC - 4 pictures,3473048,46,wug,high,1620.58500000057,1,match,pilot1
23575,2,wug,2AFC - 4 pictures,3430836,32,wug,high,2525.49999999997,1,match,pilot1
23575,2,wug,2AFC - 4 pictures,3481518,46,wug,high,1131.59500001348,1,match,pilot1
23575,2,wug,2AFC - 4 pictures,3394859,46,wug,high,1488.37500001537,1,match,pilot1
23575,2,wug,2AFC - 4 pictures,3481518,32,wug,high,1465.57999998913,1,match,pilot1
23575,2,wug,2AFC - 4 pictures,3424063,32,wug,high,2606.00000000003,1,match,pilot1
23575,2,wug,2AFC - 4 pictures,3430836,46,wug,high,1375.41000000009,1,match,pilot1
23575,2,wug,2AFC - 4 pictures,3475213,32,wug,high,1418.7249999959,1,match,pilot1
23575,2,wug,2AFC - 4 pictures,3467073,46,wug,high,3269.75000000038,1,match,pilot1
23575,2,wug,2AFC - 4 pictures,3421453,32,wug,high,1739.43000000145,1,match,pilot1
23575,2,wug,2AFC - 4 pictures,3421453,46,wug,high,3294.19999999664,1,match,pilot1
23575,2,wug,2AFC - 4 pictures,3491839,46,wug,high,3401.32499999981,1,match,pilot1
23575,2,wug,2AFC - 4 pictures,3473048,32,wug,high,1893.06000000032,1,match,pilot1
23575,2,wug,2AFC - 4 pictures,3467073,32,wug,high,2573.7650000001,1,match,pilot1
23575,2,wug,2AFC - 4 pictures,3424063,46,wug,high,2329,1,match,pilot1
23575,2,wug,2AFC - 4 pictures,3394859,32,wug,high,2320.38499999908,1,match,pilot1
30125,3,tob,2AFC - 4 pictures,3421453,10,tob,low,2008.63499999832,1,match,pilot1
30125,3,tob,2AFC - 4 pictures,3394859,10,tob,low,2683.66499998956,1,match,pilot1
30125,3,tob,2AFC - 4 pictures,3475213,10,tob,low,2649.79499997571,1,match,pilot1
30125,3,tob,2AFC - 4 pictures,3424063,10,tob,low,2500,1,match,pilot1
30225,3,tob,2AFC - 4 pictures,3394859,7,dep,low,2274.70000000903,0,mismatch-type2,pilot1
30375,3,tob,2AFC - 4 pictures,3491839,21,wug,high,1185.16999999974,0,mismatch-type2,pilot1
30425,3,tob,2AFC - 4 pictures,3424063,52,tob,low,2713.00000000003,1,match,pilot1
30425,3,tob,2AFC - 4 pictures,3475213,52,tob,low,1821.68000005186,1,match,pilot1
30425,3,tob,2AFC - 4 pictures,3473048,22,wug,low,1535.03999999884,0,mismatch-type1,pilot1
30425,3,tob,2AFC - 4 pictures,3481518,52,tob,low,1891.73499998287,1,match,pilot1
30425,3,tob,2AFC - 4 pictures,3491839,22,wug,low,2819.00000000041,0,mismatch-type1,pilot1
30425,3,tob,2AFC - 4 pictures,3421453,52,tob,low,1288.32999999577,1,match,pilot1
30425,3,tob,2AFC - 4 pictures,3394859,52,tob,low,2434.3200000003,1,match,pilot1
30475,3,tob,2AFC - 4 pictures,3481518,16,tob,high,1106.50500000338,1,match,pilot1
30475,3,tob,2AFC - 4 pictures,3473048,16,tob,high,2088.79499999966,1,match,pilot1
30475,3,tob,2AFC - 4 pictures,3424063,16,tob,high,3191,1,match,pilot1
30475,3,tob,2AFC - 4 pictures,3467073,16,tob,high,2162.50999999966,1,match,pilot1
30475,3,tob,2AFC - 4 pictures,3394859,16,tob,high,2462.88999999524,1,match,pilot1
