fribbleID,subjID,trial_index,plugin,rt,prolificID,task,resp,learning,label,fribbleFeatures,correctCategory,correctFrequency,correctLabel,body,trialType,acc
11,qfloq0vkd1,510,image-button-response,1349,5acb896da3ba7a0001b4e99f,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,163k2z1uov,510,image-button-response,947,5f11ccbc1a1a2c08b4a99efb,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,o0xz7vf2yt,510,image-button-response,1103,5f2b196c0c610f4ec3eb5451,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,fggxxfkvfo,510,image-button-response,1393,5fbfb86436a5de31c546f37b,pictureLabels,dep,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,0
11,hc4uh4u04h,510,image-button-response,1195,5f5d6c3cbacc025bf0a03440,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,g8ez0w4wvj,510,image-button-response,957,5ec32348079dcc17451cac16,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,71bdswcm9k,510,image-button-response,964,5f591a5a9a49e211efead835,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,j07stgzsr2,510,image-button-response,951,5d77c0eb4a666c0019561a80,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,xu8vthdm2k,510,image-button-response,902,5f85eb74d99dd00d735c107f,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
12,t8qovvqyjq,512,image-button-response,1287,5f89cbc45b38f5016101011c,pictureLabels,tob,FL,tobdepwugbim,120175,1,high,tob,red,exp,1
12,cjpw7y8c1k,512,image-button-response,1306,5efdc12f5d69f622915a97a1,pictureLabels,tob,LF,tobdepwugbim,120175,1,high,tob,red,exp,1
12,pmz1eqhg0u,512,image-button-response,1897,5f1bfe98441e2743f34fa16a,pictureLabels,tob,LF,tobdepwugbim,120175,1,high,tob,red,exp,1
12,3mctt6t3lt,512,image-button-response,1017,5b3cb17b6779080001fe88c1,pictureLabels,tob,FL,tobdepwugbim,120175,1,high,tob,red,exp,1
12,psp3bt1vuy,512,image-button-response,1101,5933d3c4ed2e9a0001d37ab4,pictureLabels,dep,FL,tobdepwugbim,120175,1,high,tob,red,exp,0
12,67zqwpqc3v,512,image-button-response,2235,5ea3066769713007dfc5f1c3,pictureLabels,tob,LF,tobdepwugbim,120175,1,high,tob,red,exp,1
12,3a2waojqmg,512,image-button-response,1192,5e6a2c7c5b057b08e930e89d,pictureLabels,tob,FL,tobdepwugbim,120175,1,high,tob,red,exp,1
12,xekfnorue1,512,image-button-response,1847,5a11a7d0f2e3460001edbe35,pictureLabels,dep,FL,tobdepwugbim,120175,1,high,tob,red,exp,0
12,9q76krfydn,512,image-button-response,737,5f3d9a9f10a5f219cfe0b404,pictureLabels,tob,FL,tobdepwugbim,120175,1,high,tob,red,exp,1
