subjID learning frequency type label fribble fribbleCategory resp
1459024 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1459024 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1459024 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1459024 FL low mismatch-type2 dep_cat1 3.2 cat3 NA
1459024 FL low mismatch-type2 bim_cat2 1.2 cat1 NA
1459024 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1420180 FL low match dep_cat1 1.2 cat1 -91.5
1420180 FL low match bim_cat2 2.2 cat2 -70.5
1420180 FL low match tob_cat3 3.2 cat3 -100
1420180 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1420180 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1420180 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1420180 FL low mismatch-type2 dep_cat1 3.2 cat3 NA
1420180 FL low mismatch-type2 bim_cat2 1.2 cat1 NA
1420180 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1459048 FL low match dep_cat1 1.2 cat1 NA
1459048 FL low match bim_cat2 2.2 cat2 87.75
1459048 FL low match tob_cat3 3.2 cat3 NA
1459048 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1459048 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1459048 FL low mismatch-type1 tob_cat3 1.2 cat1 11.75
1459048 FL low mismatch-type2 dep_cat1 3.2 cat3 11.5
1459048 FL low mismatch-type2 bim_cat2 1.2 cat1 NA
1459048 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1422716 FL low match dep_cat1 1.2 cat1 NA
1422716 FL low match bim_cat2 2.2 cat2 NA
1422716 FL low match tob_cat3 3.2 cat3 85.5
1422716 FL low mismatch-type1 dep_cat1 2.2 cat2 24.6666666666667
1422716 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1422716 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1422716 FL low mismatch-type2 dep_cat1 3.2 cat3 NA
1422716 FL low mismatch-type2 bim_cat2 1.2 cat1 -3
1422716 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1414957 FL low match dep_cat1 1.2 cat1 NA
1414957 FL low match bim_cat2 2.2 cat2 NA
1414957 FL low match tob_cat3 3.2 cat3 NA
1414957 FL low mismatch-type1 dep_cat1 2.2 cat2 75.5
1414957 FL low mismatch-type1 bim_cat2 3.2 cat3 66.25
1414957 FL low mismatch-type1 tob_cat3 1.2 cat1 85.25
