subjID learning task fribbleID label rt resp trialType trialIndex acc Experiment.Version category frequency
1414945 FL learningBlock3 33075 FLtob NA NA audio-keyboard-response 268 NA 14 3 75
1414945 FL learningBlock3 10175 FLdep NA NA audio-keyboard-response 271 NA 14 1 75
1414945 FL learningBlock3 20425 FLbim NA NA audio-keyboard-response 274 NA 14 2 25
1414945 FL learningBlock3 31275 FLtob NA NA audio-keyboard-response 277 NA 14 3 75
1414945 FL learningBlock3 12775 FLdep NA NA audio-keyboard-response 280 NA 14 1 75
1414945 FL learningBlock3 20725 FLbim NA NA audio-keyboard-response 283 NA 14 2 25
1414945 FL learningBlock3 22775 FLbim NA NA audio-keyboard-response 286 NA 14 2 75
1414945 FL learningBlock3 32475 FLtob NA NA audio-keyboard-response 289 NA 14 3 75
1414945 FL learningBlock3 21475 FLbim NA NA audio-keyboard-response 292 NA 14 2 75
1414945 FL learningBlock3 11275 FLdep NA NA audio-keyboard-response 295 NA 14 1 75
1414945 FL learningBlock3 20875 FLbim NA NA audio-keyboard-response 298 NA 14 2 75
1414945 FL learningBlock3 21425 FLbim NA NA audio-keyboard-response 301 NA 14 2 25
1414945 FL learningBlock4 12075 FLdep NA NA audio-keyboard-response 310 NA 14 1 75
1414945 FL learningBlock4 30275 FLtob NA NA audio-keyboard-response 313 NA 14 3 75
1414945 FL learningBlock4 21675 FLbim NA NA audio-keyboard-response 316 NA 14 2 75
1414945 FL learningBlock4 12275 FLdep NA NA audio-keyboard-response 319 NA 14 1 75
1414945 FL learningBlock4 12275 FLdep NA NA audio-keyboard-response 322 NA 14 1 75
1414945 FL learningBlock4 21425 FLbim NA NA audio-keyboard-response 325 NA 14 2 25
1414945 FL learningBlock4 31275 FLtob NA NA audio-keyboard-response 328 NA 14 3 75
1414945 FL learningBlock4 11475 FLdep NA NA audio-keyboard-response 331 NA 14 1 75
1414945 FL learningBlock4 31075 FLtob NA NA audio-keyboard-response 334 NA 14 3 75
1414945 FL learningBlock4 11275 FLdep NA NA audio-keyboard-response 337 NA 14 1 75
1414945 FL learningBlock4 10375 FLdep NA NA audio-keyboard-response 340 NA 14 1 75
1414945 FL learningBlock4 10275 FLdep NA NA audio-keyboard-response 343 NA 14 1 75
1414945 FL learningBlock4 31375 FLtob NA NA audio-keyboard-response 346 NA 14 3 75
1414945 FL learningBlock4 11925 FLdep NA NA audio-keyboard-response 349 NA 14 1 25
1414945 FL learningBlock4 20575 FLbim NA NA audio-keyboard-response 352 NA 14 2 75
1414945 FL learningBlock4 20275 FLbim NA NA audio-keyboard-response 355 NA 14 2 75
1414945 FL learningBlock4 33275 FLtob NA NA audio-keyboard-response 358 NA 14 3 75
1414945 FL learningBlock4 20775 FLbim NA NA audio-keyboard-response 361 NA 14 2 75
1414945 FL learningBlock4 20175 FLbim NA NA audio-keyboard-response 364 NA 14 2 75
1414945 FL learningBlock4 31175 FLtob NA NA audio-keyboard-response 367 NA 14 3 75
1414945 FL learningBlock4 11875 FLdep NA NA audio-keyboard-response 370 NA 14 1 75
1414945 FL learningBlock4 22375 FLbim NA NA audio-keyboard-response 373 NA 14 2 75
1414945 FL learningBlock4 32425 FLtob NA NA audio-keyboard-response 376 NA 14 3 25
1414945 FL learningBlock4 31725 FLtob NA NA audio-keyboard-response 379 NA 14 3 25
1414945 FL learningBlock4 22175 FLbim NA NA audio-keyboard-response 382 NA 14 2 75
1414945 FL learningBlock4 21325 FLbim NA NA audio-keyboard-response 385 NA 14 2 25
1414945 FL learningBlock4 10125 FLdep NA NA audio-keyboard-response 388 NA 14 1 25
1414945 FL learningBlock4 11475 FLdep NA NA audio-keyboard-response 391 NA 14 1 75
1414945 FL learningBlock4 20425 FLbim NA NA audio-keyboard-response 394 NA 14 2 25
1414945 FL learningBlock4 11325 FLdep NA NA audio-keyboard-response 397 NA 14 1 25
1414957 FL learningBlock1 30825 FLtob NA NA audio-keyboard-response 22 NA 14 3 25
1414957 FL learningBlock1 21125 FLbim NA NA audio-keyboard-response 25 NA 14 2 25
1414957 FL learningBlock1 31975 FLtob NA NA audio-keyboard-response 28 NA 14 3 75
1414957 FL learningBlock1 10975 FLdep NA NA audio-keyboard-response 31 NA 14 1 75
1414957 FL learningBlock1 12775 FLdep NA NA audio-keyboard-response 34 NA 14 1 75
1414957 FL learningBlock1 23475 FLbim NA NA audio-keyboard-response 37 NA 14 2 75
1414957 FL learningBlock1 10375 FLdep NA NA audio-keyboard-response 40 NA 14 1 75
1414957 FL learningBlock1 10525 FLdep NA NA audio-keyboard-response 43 NA 14 1 25
1414957 FL learningBlock1 21975 FLbim NA NA audio-keyboard-response 46 NA 14 2 75
1414957 FL learningBlock1 22975 FLbim NA NA audio-keyboard-response 49 NA 14 2 75
1414957 FL learningBlock1 32525 FLtob NA NA audio-keyboard-response 52 NA 14 3 25
1414957 FL learningBlock1 10175 FLdep NA NA audio-keyboard-response 55 NA 14 1 75
1414957 FL learningBlock1 20825 FLbim NA NA audio-keyboard-response 58 NA 14 2 25
1414957 FL learningBlock1 10725 FLdep NA NA audio-keyboard-response 61 NA 14 1 25
1414957 FL learningBlock1 31375 FLtob NA NA audio-keyboard-response 64 NA 14 3 75
1414957 FL learningBlock1 13475 FLdep NA NA audio-keyboard-response 67 NA 14 1 75
1414957 FL learningBlock1 13275 FLdep NA NA audio-keyboard-response 70 NA 14 1 75
1414957 FL learningBlock1 10375 FLdep NA NA audio-keyboard-response 73 NA 14 1 75
1414957 FL learningBlock1 31375 FLtob NA NA audio-keyboard-response 76 NA 14 3 75
1414957 FL learningBlock1 21425 FLbim NA NA audio-keyboard-response 79 NA 14 2 25
1414957 FL learningBlock1 21775 FLbim NA NA audio-keyboard-response 82 NA 14 2 75
1414957 FL learningBlock1 10175 FLdep NA NA audio-keyboard-response 85 NA 14 1 75
1414957 FL learningBlock1 22525 FLbim NA NA audio-keyboard-response 88 NA 14 2 25
1414957 FL learningBlock1 13375 FLdep NA NA audio-keyboard-response 91 NA 14 1 75
1414957 FL learningBlock1 30975 FLtob NA NA audio-keyboard-response 94 NA 14 3 75
1414957 FL learningBlock1 10475 FLdep NA NA audio-keyboard-response 97 NA 14 1 75
1414957 FL learningBlock1 21675 FLbim NA NA audio-keyboard-response 100 NA 14 2 75
1414957 FL learningBlock1 12275 FLdep NA NA audio-keyboard-response 103 NA 14 1 75
1414957 FL learningBlock1 30675 FLtob NA NA audio-keyboard-response 106 NA 14 3 75
1414957 FL learningBlock1 30675 FLtob NA NA audio-keyboard-response 109 NA 14 3 75
1414957 FL learningBlock1 12975 FLdep NA NA audio-keyboard-response 112 NA 14 1 75
1414957 FL learningBlock1 30875 FLtob NA NA audio-keyboard-response 115 NA 14 3 75
1414957 FL learningBlock2 32575 FLtob NA NA audio-keyboard-response 124 NA 14 3 75
1414957 FL learningBlock2 12775 FLdep NA NA audio-keyboard-response 127 NA 14 1 75
1414957 FL learningBlock2 31075 FLtob NA NA audio-keyboard-response 130 NA 14 3 75
1414957 FL learningBlock2 30975 FLtob NA NA audio-keyboard-response 133 NA 14 3 75
1414957 FL learningBlock2 30775 FLtob NA NA audio-keyboard-response 136 NA 14 3 75
1414957 FL learningBlock2 33175 FLtob NA NA audio-keyboard-response 139 NA 14 3 75
1414957 FL learningBlock2 10725 FLdep NA NA audio-keyboard-response 142 NA 14 1 25
1414957 FL learningBlock2 13375 FLdep NA NA audio-keyboard-response 145 NA 14 1 75
1414957 FL learningBlock2 20675 FLbim NA NA audio-keyboard-response 148 NA 14 2 75
1414957 FL learningBlock2 32475 FLtob NA NA audio-keyboard-response 151 NA 14 3 75
1414957 FL learningBlock2 32675 FLtob NA NA audio-keyboard-response 154 NA 14 3 75
1414957 FL learningBlock2 20575 FLbim NA NA audio-keyboard-response 157 NA 14 2 75
1414957 FL learningBlock2 10525 FLdep NA NA audio-keyboard-response 160 NA 14 1 25
1414957 FL learningBlock2 20675 FLbim NA NA audio-keyboard-response 163 NA 14 2 75
1414957 FL learningBlock2 31825 FLtob NA NA audio-keyboard-response 166 NA 14 3 25
1414957 FL learningBlock2 10875 FLdep NA NA audio-keyboard-response 169 NA 14 1 75
1414957 FL learningBlock2 20475 FLbim NA NA audio-keyboard-response 172 NA 14 2 75
1414957 FL learningBlock2 21125 FLbim NA NA audio-keyboard-response 175 NA 14 2 25
1414957 FL learningBlock2 11625 FLdep NA NA audio-keyboard-response 178 NA 14 1 25
1414957 FL learningBlock2 23275 FLbim NA NA audio-keyboard-response 181 NA 14 2 75
1414957 FL learningBlock2 33375 FLtob NA NA audio-keyboard-response 184 NA 14 3 75
1414957 FL learningBlock2 12975 FLdep NA NA audio-keyboard-response 187 NA 14 1 75
1414957 FL learningBlock2 31175 FLtob NA NA audio-keyboard-response 190 NA 14 3 75
1414957 FL learningBlock2 10475 FLdep NA NA audio-keyboard-response 193 NA 14 1 75
1414957 FL learningBlock2 21675 FLbim NA NA audio-keyboard-response 196 NA 14 2 75
1414957 FL learningBlock2 22975 FLbim NA NA audio-keyboard-response 199 NA 14 2 75
1414957 FL learningBlock2 10325 FLdep NA NA audio-keyboard-response 202 NA 14 1 25
1414957 FL learningBlock2 31175 FLtob NA NA audio-keyboard-response 205 NA 14 3 75
1414957 FL learningBlock2 22775 FLbim NA NA audio-keyboard-response 208 NA 14 2 75
1414957 FL learningBlock2 12875 FLdep NA NA audio-keyboard-response 211 NA 14 1 75
1414957 FL learningBlock2 20475 FLbim NA NA audio-keyboard-response 214 NA 14 2 75
1414957 FL learningBlock2 20825 FLbim NA NA audio-keyboard-response 217 NA 14 2 25
1414957 FL learningBlock3 13275 FLdep NA NA audio-keyboard-response 226 NA 14 1 75
1414957 FL learningBlock3 21925 FLbim NA NA audio-keyboard-response 229 NA 14 2 25
