resp subjID learning task fribbleID label rt trialType trialIndex acc Experiment.Version category frequency cueID bodyShape
10675 1431978 FL generalizationLP 10675_20575_31775_ tob 1775.37999999186 audio-button-response 423 0 14 1 75 cbcd jar
10675 1459067 LF generalizationLP 10675_22175_30475_ dep 2197.65500002541 audio-button-response 416 1 15 1 75 cbcd jar
10675 1422676 LF generalizationLP 10675_20175_33475_ dep 1848.66500000132 audio-button-response 412 1 14 1 75 cbcd jar
10675 1459699 LF generalizationLP 10675_23375_30175_ dep 2193 audio-button-response 456 1 15 1 75 cbcd jar
10675 1459025 LF generalizationLP 10675_21975_33075_ bim 1502.69500003196 audio-button-response 548 0 15 1 75 cbcd jar
10675 1414957 FL generalizationLP 10675_21075_32175_ dep 2027.4100000097 audio-button-response 448 1 14 1 75 cbcd jar
10675 1459706 FL generalizationLP 10675_23075_30275_ dep 2653.9449999982 audio-button-response 569 1 15 1 75 cbcd jar
10675 1431966 LF generalizationLP 10675_22375_33575_ tob 1127.89499999781 audio-button-response 562 0 14 1 75 cbcd jar
10725 1431981 LF generalizationLP 10725_21225_31425_ dep 1085.85999999195 audio-button-response 568 1 14 1 25 heef barrel
10725 1459013 FL generalizationLP 10725_22425_31525_ tob 1420 audio-button-response 543 0 15 1 25 heef barrel
10725 1459699 LF generalizationLP 10725_20125_30625_ bim 1457 audio-button-response 412 0 15 1 25 heef barrel
10725 1431974 FL generalizationLP 10725_21425_31125_ tob 1754.04499995057 audio-button-response 541 0 14 1 25 heef barrel
10725 1459109 LF generalizationLP 10725_20725_31725_ dep 2591.20999998413 audio-button-response 416 1 15 1 25 heef barrel
10725 1432301 LF generalizationLP 10725_22125_30925_ tob 1387.66999999643 audio-button-response 558 0 14 1 25 heef barrel
10725 1459003 FL generalizationLP 10725_21325_32225_ bim 3365.60999997891 audio-button-response 571 0 15 1 25 heef barrel
10725 1459078 LF generalizationLP 10725_20525_32425_ bim 2570.80500000005 audio-button-response 446 0 15 1 25 heef barrel
10725 1459007 FL generalizationLP 10725_21325_32225_ tob 2365.58500025421 audio-button-response 431 0 15 1 25 heef barrel
10725 1459046 LF generalizationLP 10725_21325_30525_ dep 2452 audio-button-response 570 1 15 1 25 heef barrel
10725 1459057 FL generalizationLP 10725_21825_32125_ tob 2622.19999999797 audio-button-response 425 0 15 1 25 heef barrel
10725 1458996 LF generalizationLP 10725_20125_30925_ dep 1612.88000000059 audio-button-response 560 1 15 1 25 heef barrel
10725 1422465 FL generalizationLP 10725_20925_31425_ tob 839.88500002306 audio-button-response 453 0 14 1 25 heef barrel
10725 1422715 LF generalizationLP 10725_22025_30725_ dep 2429.43499999819 audio-button-response 532 1 14 1 25 heef barrel
10725 1422678 LF generalizationLP 10725_22525_30925_ dep 1263.04000000167 audio-button-response 554 1 14 1 25 heef barrel
10775 1422716 FL generalizationLP 10775_20175_33275_ dep 1913.90000004321 audio-button-response 549 1 14 1 75 ccbc jar
10775 1459046 LF generalizationLP 10775_23575_31475_ dep 2036 audio-button-response 556 1 15 1 75 ccbc jar
10775 1459020 LF generalizationLP 10775_22875_30875_ bim 1483.03499999974 audio-button-response 574 0 15 1 75 ccbc jar
10775 1431961 FL generalizationLP 10775_21675_32375_ tob 810.354999994161 audio-button-response 439 0 14 1 75 ccbc jar
10775 1422678 LF generalizationLP 10775_20575_31475_ dep 741.04499999882 audio-button-response 542 1 14 1 75 ccbc jar
10775 1459015 LF generalizationLP 10775_21275_30575_ tob 1744.52000000747 audio-button-response 442 0 15 1 75 ccbc jar
10775 1422476 LF generalizationLP 10775_21075_30275_ dep 1264.03500000015 audio-button-response 542 1 14 1 75 ccbc jar
10775 1458992 FL generalizationLP 10775_21575_32375_ dep 1367.71499994211 audio-button-response 411 1 15 1 75 ccbc jar
10775 1422467 LF generalizationLP 10775_22275_31975_ dep 1191.14499993157 audio-button-response 564 1 14 1 75 ccbc jar
10775 1432007 LF generalizationLP 10775_22875_32775_ dep 994.635000002687 audio-button-response 542 1 14 1 75 ccbc jar
10775 1414932 LF generalizationLP 10775_20975_33475_ bim 2002.55500001367 audio-button-response 429 0 14 1 75 ccbc jar
