Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-cu6n,Reaction Time,Stimulus,Key Press,Test Part,Correct Response,Trial Type,Trial Index,Time Elapsed,Correct,learningType,presentedImage,presentedLabel,response
63,1589724835191,17/05/2020 14:13:55,1589724835932,1,17/05/2020 15:13:55,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,/task/70033/56/asset/31325.jpg,,learningBlock1,,image-keyboard-response,31,153504,,LF,/task/70033/56/asset/31325.jpg,/task/70033/56/asset/LFtob.mp3,
64,1589724835253,17/05/2020 14:13:55,1589724835933,1,17/05/2020 15:13:55,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
65,1589724836271,17/05/2020 14:13:56,1589724837014,1,17/05/2020 15:13:57,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,"<div style=""font-size:60px;"">+</div>",,,,html-keyboard-response,32,154588,,,,,
66,1589724836427,17/05/2020 14:13:56,1589724837016,1,17/05/2020 15:13:57,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
67,1589724837182,17/05/2020 14:13:57,1589724837930,1,17/05/2020 15:13:57,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,/task/70033/56/asset/LFdep.mp3,,,,audio-keyboard-response,33,155504,,,,,
68,1589724837245,17/05/2020 14:13:57,1589724837931,1,17/05/2020 15:13:57,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
69,1589724837636,17/05/2020 14:13:57,1589724838370,1,17/05/2020 15:13:58,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,/task/70033/56/asset/10875.jpg,,learningBlock1,,image-keyboard-response,34,155944,,LF,/task/70033/56/asset/10875.jpg,/task/70033/56/asset/LFdep.mp3,
70,1589724837698,17/05/2020 14:13:57,1589724838371,1,17/05/2020 15:13:58,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
71,1589724838714,17/05/2020 14:13:58,1589724839451,1,17/05/2020 15:13:59,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,"<div style=""font-size:60px;"">+</div>",,,,html-keyboard-response,35,157025,,,,,
72,1589724838777,17/05/2020 14:13:58,1589724839453,1,17/05/2020 15:13:59,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
