fribbleID,subjID,language,plugin,codeword,rt,task,resp,learning,label,fribbleFeatures,correctCategory,correctFrequency,correctLabel,body,trialType,acc
11,0e2jb9zq47,en,image-button-response,UAJIIN24,1309,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,w1htsndwg2,en,image-button-response,bo05ou27,2082,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,4xjqd36lab,en,image-button-response,un08ta23,2686,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,1nbemfkd3a,de,image-button-response,KE05KO08,1332,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,w6nynz57oc,en,image-button-response,tz03as24,1299,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,mj8qhhm23d,de,image-button-response,va08im28,797,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,nav0ha06h4,en,image-button-response,TZ07ER11,2416,pictureLabels,dep,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,0
11,wuvcv75zvq,de,image-button-response,VA04RD11,1140,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,khlkyd4sl5,en,image-button-response,en04az24,1503,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,owwgbas786,en,image-button-response,ke09im08,839,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,u9vce3hluj,de,image-button-response,ne05ar22,2218,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,7xgb6axxfk,de,image-button-response,rf07as06,1079,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,g0qt0dz9h6,en,image-button-response,LD05ND12,918,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,zt9mew4cym,de,image-button-response,el06ng23,978,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,c7w24j9nfq,de,image-button-response,ck05ng18,1707,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,ptl3djnzo5,de,image-button-response,el06nd29,935,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,3zzac4tx1p,en,image-button-response,on03as29,1044,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,csfpvftfnx,de,image-button-response,ko05or02,1552,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,ulvf1nlewe,de,image-button-response,ia04an16,1346,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,atap00wwqb,en,image-button-response,ft08en25,843,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,ltyqe11amm,de,image-button-response,er05in25,1140,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,bhjyudy7kq,de,image-button-response,IC06IR09,1790,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,pc9v71lhle,en,image-button-response,nd05rt12,1187,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,po0zyzo9vq,de,image-button-response,we06ed23,958,pictureLabels,bim,FL,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,l2tdyj71gq,de,image-button-response,er04as06,1301,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
11,fnul5v7u0c,en,image-button-response,ng06rd26,2075,pictureLabels,tob,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,0
11,kk4adj1drx,de,image-button-response,en05es25,1062,pictureLabels,bim,LF,tobdepwugbim,110400,4,control,bim,lightblue,control,1
12,kbwv2blq88,de,image-button-response,el09rd31,2034,pictureLabels,dep,LF,tobdepwugbim,120175,1,high,tob,red,exp,0
12,9dovdyxkak,de,image-button-response,er09us26,1713,pictureLabels,tob,LF,tobdepwugbim,120175,1,high,tob,red,exp,1
12,ty0rq2vzkd,en,image-button-response,eh06in06,1228,pictureLabels,tob,LF,tobdepwugbim,120175,1,high,tob,red,exp,1
12,td2t8o9pe4,de,image-button-response,HL06IN19,1089,pictureLabels,tob,FL,tobdepwugbim,120175,1,high,tob,red,exp,1
12,dt4f26xnjv,en,image-button-response,ER04LF09,1338,pictureLabels,dep,FL,tobdepwugbim,120175,1,high,tob,red,exp,0
12,5jpxbwcfh4,de,image-button-response,el06as26,1076,pictureLabels,tob,FL,tobdepwugbim,120175,1,high,tob,red,exp,1
12,ptl3djnzo5,de,image-button-response,el06nd29,1094,pictureLabels,tob,FL,tobdepwugbim,120175,1,high,tob,red,exp,1
12,zgrkqwru88,en,image-button-response,as04co18,2166,pictureLabels,tob,LF,tobdepwugbim,120175,1,high,tob,red,exp,1
12,khlkyd4sl5,en,image-button-response,en04az24,1369,pictureLabels,tob,FL,tobdepwugbim,120175,1,high,tob,red,exp,1
12,wmv7c0r6c5,en,image-button-response,va04ik29,1537,pictureLabels,tob,FL,tobdepwugbim,120175,1,high,tob,red,exp,1
12,9zuef86ced,de,image-button-response,rz06as26,1394,pictureLabels,tob,FL,tobdepwugbim,120175,1,high,tob,red,exp,1
12,tbo3kx7lyg,de,image-button-response,ke06ng04,1547,pictureLabels,tob,FL,tobdepwugbim,120175,1,high,tob,red,exp,1
12,zm0cozjsh6,en,image-button-response,al05rt16,1110,pictureLabels,tob,FL,tobdepwugbim,120175,1,high,tob,red,exp,1
12,owwgbas786,en,image-button-response,ke09im08,979,pictureLabels,tob,FL,tobdepwugbim,120175,1,high,tob,red,exp,1
12,w1htsndwg2,en,image-button-response,bo05ou27,2122,pictureLabels,tob,LF,tobdepwugbim,120175,1,high,tob,red,exp,1
12,f0xfptzqrg,de,image-button-response,ay05em02,1583,pictureLabels,tob,LF,tobdepwugbim,120175,1,high,tob,red,exp,1
12,5baebfz1ea,en,image-button-response,Ya05an03,1975,pictureLabels,tob,FL,tobdepwugbim,120175,1,high,tob,red,exp,1
12,g6wblx1ehg,en,image-button-response,aj05er02,1250,pictureLabels,tob,FL,tobdepwugbim,120175,1,high,tob,red,exp,1
12,w6nynz57oc,en,image-button-response,tz03as24,3253,pictureLabels,tob,LF,tobdepwugbim,120175,1,high,tob,red,exp,1
12,0e2jb9zq47,en,image-button-response,UAJIIN24,1569,pictureLabels,tob,FL,tobdepwugbim,120175,1,high,tob,red,exp,1
12,mj8qhhm23d,de,image-button-response,va08im28,1040,pictureLabels,tob,FL,tobdepwugbim,120175,1,high,tob,red,exp,1
12,wuvcv75zvq,de,image-button-response,VA04RD11,1243,pictureLabels,tob,FL,tobdepwugbim,120175,1,high,tob,red,exp,1
12,75db5dymcw,de,image-button-response,er05en16,1395,pictureLabels,tob,FL,tobdepwugbim,120175,1,high,tob,red,exp,1
12,mn35br66m1,de,image-button-response,IS05RY26,3067,pictureLabels,tob,FL,tobdepwugbim,120175,1,high,tob,red,exp,1
12,u9vce3hluj,de,image-button-response,ne05ar22,1923,pictureLabels,tob,LF,tobdepwugbim,120175,1,high,tob,red,exp,1
12,7acm8wjh3r,en,image-button-response,na09ay17,1713,pictureLabels,tob,LF,tobdepwugbim,120175,1,high,tob,red,exp,1
12,zt9mew4cym,de,image-button-response,el06ng23,1023,pictureLabels,tob,LF,tobdepwugbim,120175,1,high,tob,red,exp,1
12,po0zyzo9vq,de,image-button-response,we06ed23,1755,pictureLabels,tob,FL,tobdepwugbim,120175,1,high,tob,red,exp,1
12,8vhxe9t9g0,en,image-button-response,ke05us31,1066,pictureLabels,dep,FL,tobdepwugbim,120175,1,high,tob,red,exp,0
12,g4m3kbu4rq,en,image-button-response,ER04LF09,2046,pictureLabels,tob,LF,tobdepwugbim,120175,1,high,tob,red,exp,1
12,c7w24j9nfq,de,image-button-response,ck05ng18,838,pictureLabels,tob,LF,tobdepwugbim,120175,1,high,tob,red,exp,1
12,4xjqd36lab,en,image-button-response,un08ta23,2172,pictureLabels,tob,LF,tobdepwugbim,120175,1,high,tob,red,exp,1
12,1nbemfkd3a,de,image-button-response,KE05KO08,1902,pictureLabels,dep,FL,tobdepwugbim,120175,1,high,tob,red,exp,0
12,3yxnw7xt1g,de,image-button-response,cz06an18,1061,pictureLabels,tob,FL,tobdepwugbim,120175,1,high,tob,red,exp,1
12,2z8ekchs9g,en,image-button-response,rt08ed02,1059,pictureLabels,tob,FL,tobdepwugbim,120175,1,high,tob,red,exp,1
12,asumwjv4nj,en,image-button-response,ne06je04,2403,pictureLabels,tob,LF,tobdepwugbim,120175,1,high,tob,red,exp,1
12,f64ncrzxu3,en,image-button-response,NS08US09,1226,pictureLabels,tob,LF,tobdepwugbim,120175,1,high,tob,red,exp,1
12,43qjs0ts63,en,image-button-response,la07as21,857,pictureLabels,tob,FL,tobdepwugbim,120175,1,high,tob,red,exp,1
12,kk4adj1drx,de,image-button-response,en05es25,NA,pictureLabels,NA,LF,tobdepwugbim,120175,1,high,tob,red,exp,NA
12,ulvf1nlewe,de,image-button-response,ia04an16,2030,pictureLabels,dep,LF,tobdepwugbim,120175,1,high,tob,red,exp,0
12,l2tdyj71gq,de,image-button-response,er04as06,1732,pictureLabels,tob,LF,tobdepwugbim,120175,1,high,tob,red,exp,1
12,7xgb6axxfk,de,image-button-response,rf07as06,1357,pictureLabels,tob,FL,tobdepwugbim,120175,1,high,tob,red,exp,1
12,ltyqe11amm,de,image-button-response,er05in25,1145,pictureLabels,tob,FL,tobdepwugbim,120175,1,high,tob,red,exp,1
12,csfpvftfnx,de,image-button-response,ko05or02,2763,pictureLabels,tob,LF,tobdepwugbim,120175,1,high,tob,red,exp,1
12,nav0ha06h4,en,image-button-response,TZ07ER11,2809,pictureLabels,tob,LF,tobdepwugbim,120175,1,high,tob,red,exp,1
